44,-6,-16,1,9.9,162,"house",5,0,0,5,3.98,1,1,1,0.0828185329777778,1,11,3,100,0,4,4,1,0
99,-16,-11,1,9.9,190,"house",9,6,0,3,6.79,2,1,2,0.881489786174359,1,19.5460002422333,13.5460002422333,147,1,6,6,8,5
4,3,15,1,9.9,300,"house",2,0,0,2,1,0,0,0,3.4461688731291,1,7.59999990463256,7.59999990463256,7,6,1,2,4,4
60,-16,10,1,9.9,344,"house",3,1,0,2,7,2,3,1,0.824023199589744,2,14,6,72,0,2,3,0,1
81,-10,9,1,9.9,130,"house",7,5,2,0,5.73560975609756,0,0,0,1.5,1,19.5129999816418,11,47.5,4,2,5,6,7
93,-15,6,1,9.9,222,"house",3,1,1,1,1.93,0,1,0,0.704142836620321,4,8,5,20,2,0,0,2,4
74,7,13,1,9.9,221,"house",2,1,0,1,0.2,0,0,0,0.22174375595102,1,5,0,50,3,2,1,4,4
8,-16,5,1,9.9,237,"house",1,0,1,0,0.4,0,0,0,1.52707961955318,3,6,4,25,4,4,4,1,3
96,15,2,1,9.9,351,"house",4,2,0,2,4.1,1,1,0,0.908967026652406,7,46,46,35,1,2,4,5,1
38,7,11,1,9.9,227,"house",9,5,0,4,15.71,5,2,2,1.06691243021974,6,30,30,186,5,3,3,4,5
62,0,-4,1,9.9,142,"house",11,2,0,9,25.15,6,5,3,0.2976833984,3,49,45,246,6,3,5,4,1
6,15,-8,1,9.9,114,"house",3,1,0,2,0.6,0,0,0,0.597179092936898,1,1.09599995613098,1.09599995613098,84,3,1,3,4,1
65,3,-1,1,9.9,93,"house",8,5,1,2,4.82,1,2,2,0.652068396495238,4,2.15499997138977,2.15499997138977,92,5,4,1,1,1
58,12,12,1,9.9,12,"house",5,3,0,2,6.36,2,1,0,1.37675532764444,5,13.5,13.5,16,4,7,1,2,5
36,9,-2,1,9.9,58,"house",11,7,0,4,3.24,0,2,2,0.451526335580749,3,22.5,10,2,7,9,2,9,4
83,15,9,1,9.9,68,"house",6,4,0,2,4.76,1,2,1,0.588539195919266,1,3,2,31,2,9,4,2,3
43,5,3,1,9.9,27,"house",2,0,0,2,1.42,1,0,0,0.651798876945455,1,9,9,8.28571428571429,3,0,2,2,0
14,-5,2,1,9.9,131,"house",2,0,2,0,1.76,0,0,0,0.879381310314438,1,6,6,51,4,4,3,0,2
